MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Neighborhood,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Building Classification,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Total Units,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Year Built,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Full Market Value,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
1-01046-0023,"315 55 STREET
New York, NY
(40.765763, -73.984633)",1,,,,,,,,,,MIDTOWN WEST,D4-ELEVATOR,43,1945,28098,870195,30.97,271427,9.66,598768,4473000,159.19,1-01041-0038,"306 51 STREET
New York, NY
(40.763203, -73.986325)",MIDTOWN WEST,D9-ELEVATOR,38,1945,25482,795858,31.23,187254,7.35,608604,4544000,178.32,0.24,1-01046-0009,"347 55 STREET
New York, NY
(40.75726, -73.964482)",MIDTOWN WEST,D3-ELEVATOR,96,1911,53952,1656546,30.7,645794,11.97,1010752,7555000,140.03,0,, , , , , , , , , , , , , , 
1-00576-0049,"13 12 STREET
New York, NY
(40.734212, -73.993487)",1,,,,,,,,,,GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,82,1959,71215,2855009,40.09,877369,12.32,1977640,14946000,209.87,1-00575-0077,"55 11 STREET
New York, NY
(40.732984, -73.992574)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,1924,63943,2450267,38.32,838784,13.12,1611483,12194000,190.7,0.05,1-00606-0009,"30 GREENWICH AVENUE
New York, NY
(40.734962, -74.000138)",GREENWICH VILLAGE-WEST,D8-ELEVATOR,51,1920,37736,1579342,41.85,434752,11.52,1144590,8639000,228.93,0.19,, , , , , , , , , , , , , , 
1-00791-0009,"155 15 STREET
New York, NY
(40.738917, -73.9984)",1,,,,,,,,,,CHELSEA,D0-ELEVATOR,40,1940,49880,1472956,29.53,384575,7.71,1088381,8161000,163.61,1-00792-0012,"141 16 STREET
New York, NY
(40.739432, -73.997644)",CHELSEA,D1-ELEVATOR,49,1940,34662,1051149,30.33,214423,6.19,836726,6263000,180.69,0.05,1-00796-0067,"150 21 STREET
New York, NY
(40.742548, -73.995963)",CHELSEA,D1-ELEVATOR,61,1950,48249,1304072,27.03,236441,4.9,1067631,7707000,159.73,0.23,, , , , , , , , , , , , , , 
1-01860-0007,"157 105 STREET
New York, NY
(40.799282816596, -73.964974325074)",1,,,,,,,,,,UPPER WEST SIDE (96-116),C6-WALK-UP,20,1930,17860,393813,22.05,137701,7.71,256112,1443000,80.8,1-01859-0046,"140 105 STREET
New York, NY
(40.799033233477, -73.964534097758)",UPPER WEST SIDE (96-116),D1-ELEVATOR,29,1920,20994,516307,24.59,144974,6.91,371333,1695000,80.74,0.05,1-01838-0038,"6 103 STREET
New York, NY
(40.79611530855, -73.961543182515)",MANHATTAN VALLEY,C5-WALK-UP,20,1910,13030,254116,19.5,110852,8.51,143264,792000,60.78,0.26,, , , , , , , , , , , , , , 
1-00452-0006,"170 2 AVENUE
New York, NY
(40.730243278715, -73.986447402526)",1,10003,40.730216,-73.986484,3,2,40,1006435,1004520006,East Village                                                               ,EAST VILLAGE,D4-ELEVATOR,77,1928,97896,3524256,36,1345091,13.74,2179165,16078000,164.24,1-00452-0053,"209 10 STREET
New York, NY
(40.568094562752, -74.118564082794)",EAST VILLAGE,C1-WALK-UP,15,1920,9200,331211,36,120911,13.14,210300,1552000,168.7,0,1-00451-0001,"146 2 AVENUE
New York, NY
(40.729343956685, -73.987103907608)",EAST VILLAGE,C7-WALK-UP,62,1900,37353,1529405,40.94,519954,13.92,1009451,7624000,204.11,0.05,1-00454-0004,198 2 AVENUE,EAST VILLAGE,C7-WALK-UP,35,1920,"24,747","711,930",28.77,"277,661",11.22,"434,269","3,261,000",131.77,0.1
1-00847-0050,"40 19 STREET
New York, NY
(40.539313773957, -74.169162062729)",1,,,,,,,,,,FLATIRON,D0-ELEVATOR,15,1905,37857,1218617,32.19,399013,10.54,819604,6103000,161.21,1-00935-0053,"312 30 STREET
New York, NY
(40.749982399583, -73.996119030285)",KIPS BAY,D9-ELEVATOR,67,1986,47820,1656890,34.65,580343,12.14,1076547,7971000,166.69,0.7,1-00412-0008,"186 ORCHARD STREET
New York, NY
(40.722023475367, -73.988237053365)",LOWER EAST SIDE,D6-ELEVATOR,22,1930,12225,432830,35.41,127237,10.41,305593,2259000,184.79,1.09,, , , , , , , , , , , , , , 
1-01380-0035,"620 PARK AVENUE
New York, NY
(40.766917631069, -73.967004060253)",1,10065,40.766851,-73.966943,8,4,122,1041136,1013800035,Upper East Side-Carnegie Hill                                              ,UPPER EAST SIDE (59-79),D4-ELEVATOR,18,1924,64234,2511549,39.1,688588,10.72,1822961,13787000,214.64,1-01379-0030,"47 64 STREET
New York, NY
(40.641033064985, -74.024793769845)",UPPER EAST SIDE (59-79),D9-ELEVATOR,40,1929,41692,1726049,41.4,587023,14.08,1139026,8600000,206.27,0.05,1-01398-0006,"103 63 STREET
New York, NY
(40.642311269898, -74.025427870612)",UPPER EAST SIDE (59-79),D7-ELEVATOR,37,1923,36274,1173708,32.36,221664,6.11,952044,7087000,195.37,0.14,1-01379-0066,4 EAST 65 STREET,UPPER EAST SIDE (59-79),D9-ELEVATOR,20,1915,"22,344","873,650",39.1,"296,952",13.29,"576,698","4,362,000",195.22,0.11
1-01453-0037,"330 79 STREET
New York, NY
(40.628354626373, -74.02826943261)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,70,1941,82608,3396015,41.11,954948,11.56,2441067,18434000,223.15,1-01453-0021,"353 78 STREET
New York, NY
(40.628960395409, -74.027160515172)",UPPER EAST SIDE (59-79),D6-ELEVATOR,67,1986,53662,1890012,35.22,420072,7.83,1469940,10871000,202.58,0,1-01450-0037,"352 76 STREET
New York, NY
(40.630379073999, -74.026647246966)",UPPER EAST SIDE (59-79),D6-ELEVATOR,23,1910,10800,504549,46.72,131085,12.14,373464,2807000,259.91,0.15,, , , , , , , , , , , , , , 
1-02072-0022,"83 HAMILTON PLACE
New York, NY
(40.822855461292, -73.95095116203)",1,10031,40.822934,-73.950797,9,7,225,1061763,1020720022,Hamilton Heights                                                           ,HARLEM-UPPER,C6-WALK-UP,24,1920,19662,241449,12.28,125247,6.37,116202,737000,37.48,1-02051-0033,"660 ST NICHOLAS AVENUE
New York, NY
(40.822513718921, -73.945501270532)",HARLEM-CENTRAL,C1-WALK-UP,30,1910,20640,352531,17.08,112075,5.43,240456,1738000,84.21,0.28,1-01987-0036,"1496 AMSTERDAM AVENUE
New York, NY
(40.818107040977, -73.952821751851)",HARLEM-WEST,C1-WALK-UP,25,1905,17749,217894,12.28,108725,6.13,109169,692000,38.99,0.35,1-02025-0056,226 WEST 140 STREET,HARLEM-CENTRAL,C1-WALK-UP,18,1920,"15,292","174,255",11.4,"111,456",7.29,"62,799","404,000",26.42,0.46
1-01148-0056,"160 77 STREET
New York, NY
(40.630878085552, -74.032125333133)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,45,1927,53427,1747063,32.7,574875,10.76,1172188,8720000,163.21,1-01129-0047,"22 77 STREET
New York, NY
(40.63205523324, -74.037085739379)",UPPER WEST SIDE (59-79),D1-ELEVATOR,42,1921,26910,889231,33.04,189083,7.03,700148,5205000,193.42,0.17,1-01210-0012,"147 79 STREET
New York, NY
(40.629612150649, -74.033321842043)",UPPER WEST SIDE (79-96),D3-ELEVATOR,61,1926,76193,2491263,32.7,820130,10.76,1671133,12431000,163.15,0.16,1-01169-0042,226 WEST 78 STREET,UPPER WEST SIDE (59-79),D1-ELEVATOR,42,1925,"27,100","780,225",28.79,"269,477",9.94,"510,748","3,835,000",141.51,0.14
