MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Boro-Block-Lot,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Neighborhood,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Building Classification,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Total Units,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Year Built,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Gross Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Gross Income per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Estimated Expense,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Expense per SqFt,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Net Operating Income,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Full Market Value,MANHATTAN COOPERATIVES COMPARABLE PROPERTIES Market Value per SqFt,COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1 Neighborhood,COMPARABLE RENTAL 1 Building Classification,COMPARABLE RENTAL 1 Total Units,COMPARABLE RENTAL 1 Year Built,COMPARABLE RENTAL 1 Gross SqFt,COMPARABLE RENTAL 1 Estimated Gross Income,COMPARABLE RENTAL 1 Gross Income per SqFt,COMPARABLE RENTAL 1 Estimated Expense,COMPARABLE RENTAL 1 Expense per SqFt,COMPARABLE RENTAL 1 Net Operating Income,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1 Market Value per SqFt,COMPARABLE RENTAL 1 Distance from Coop in miles,COMPARABLE RENTAL 2 Boro-Block-Lot,COMPARABLE RENTAL 2 Address,COMPARABLE RENTAL 2 Neighborhood,COMPARABLE RENTAL 2 Building Classification,COMPARABLE RENTAL 2 Total Units,COMPARABLE RENTAL 2 Year Built,COMPARABLE RENTAL 2 Gross SqFt,COMPARABLE RENTAL 2 Estimated Gross Income,COMPARABLE RENTAL 2 Gross Income per SqFt,COMPARABLE RENTAL 2 Estimated Expense,COMPARABLE RENTAL 2 Expense per SqFt,COMPARABLE RENTAL 2 Net Operating Income,COMPARABLE RENTAL 2 Full Market Value,COMPARABLE RENTAL 2 Market Value per SqFt,COMPARABLE RENTAL 2 Distance from Coop in miles,COMPARABLE RENTAL 3 Boro-Block-Lot,COMPARABLE RENTAL 3 Address,COMPARABLE RENTAL 3 Neighborhood,COMPARABLE RENTAL 3 Building Classification,COMPARABLE RENTAL 3 Total Units,COMPARABLE RENTAL 3 Year Built,COMPARABLE RENTAL 3 Gross SqFt,COMPARABLE RENTAL 3 Estimated Gross Income,COMPARABLE RENTAL 3 Gross Income per SqFt,COMPARABLE RENTAL 3 Estimated Expense,COMPARABLE RENTAL 3 Expense per SqFt,COMPARABLE RENTAL 3 Net Operating Income,COMPARABLE RENTAL 3 Full Market Value,COMPARABLE RENTAL 3 Market Value per SqFt,COMPARABLE RENTAL 3 Distance from Coop in miles
1-01046-0023,"315 55 STREET
New York, NY
(40.765763, -73.984633)",1,,,,,,,,,,MIDTOWN WEST,D4-ELEVATOR,43,"1,945","28,098","870,195",30.97,"271,427",9.66,"598,768","4,473,000",159.19,1-01041-0038,"306 51 STREET
New York, NY
(40.763203, -73.986325)",MIDTOWN WEST,D9-ELEVATOR,38,"1,945","25,482","795,858",31.23,"187,254",7.35,"608,604","4,544,000",178.32,0.24,1-01046-0009,"347 55 STREET
New York, NY
(40.75726, -73.964482)",MIDTOWN WEST,D3-ELEVATOR,96,"1,911","53,952","1,656,546",30.7,"645,794",11.97,"1,010,752","7,555,000",140.03,0,, , , , , , , , , , , , , , 
1-00576-0049,"13 12 STREET
New York, NY
(40.734212, -73.993487)",1,,,,,,,,,,GREENWICH VILLAGE-CENTRAL,D4-ELEVATOR,82,"1,959","71,215","2,855,009",40.09,"877,369",12.32,"1,977,640","14,946,000",209.87,1-00575-0077,"55 11 STREET
New York, NY
(40.732984, -73.992574)",GREENWICH VILLAGE-CENTRAL,D9-ELEVATOR,88,"1,924","63,943","2,450,267",38.32,"838,784",13.12,"1,611,483","12,194,000",190.7,0.05,1-00606-0009,"30 GREENWICH AVENUE
New York, NY
(40.734962, -74.000138)",GREENWICH VILLAGE-WEST,D8-ELEVATOR,51,"1,920","37,736","1,579,342",41.85,"434,752",11.52,"1,144,590","8,639,000",228.93,0.19,, , , , , , , , , , , , , , 
1-00791-0009,"155 15 STREET
New York, NY
(40.738917, -73.9984)",1,,,,,,,,,,CHELSEA,D0-ELEVATOR,40,"1,940","49,880","1,472,956",29.53,"384,575",7.71,"1,088,381","8,161,000",163.61,1-00792-0012,"141 16 STREET
New York, NY
(40.739432, -73.997644)",CHELSEA,D1-ELEVATOR,49,"1,940","34,662","1,051,149",30.33,"214,423",6.19,"836,726","6,263,000",180.69,0.05,1-00796-0067,"150 21 STREET
New York, NY
(40.742548, -73.995963)",CHELSEA,D1-ELEVATOR,61,"1,950","48,249","1,304,072",27.03,"236,441",4.9,"1,067,631","7,707,000",159.73,0.23,, , , , , , , , , , , , , , 
1-01860-0007,"157 105 STREET
New York, NY
(40.799282816596, -73.964974325074)",1,,,,,,,,,,UPPER WEST SIDE (96-116),C6-WALK-UP,20,"1,930","17,860","393,813",22.05,"137,701",7.71,"256,112","1,443,000",80.8,1-01859-0046,"140 105 STREET
New York, NY
(40.799033233477, -73.964534097758)",UPPER WEST SIDE (96-116),D1-ELEVATOR,29,"1,920","20,994","516,307",24.59,"144,974",6.91,"371,333","1,695,000",80.74,0.05,1-01838-0038,"6 103 STREET
New York, NY
(40.79611530855, -73.961543182515)",MANHATTAN VALLEY,C5-WALK-UP,20,"1,910","13,030","254,116",19.5,"110,852",8.51,"143,264","792,000",60.78,0.26,, , , , , , , , , , , , , , 
1-00452-0006,"170 2 AVENUE
New York, NY
(40.730243278715, -73.986447402526)",1,10003,40.730216,-73.986484,3,2,40,"1,006,435","1,004,520,006",East Village                                                               ,EAST VILLAGE,D4-ELEVATOR,77,"1,928","97,896","3,524,256",36,"1,345,091",13.74,"2,179,165","16,078,000",164.24,1-00452-0053,"209 10 STREET
New York, NY
(40.568094562752, -74.118564082794)",EAST VILLAGE,C1-WALK-UP,15,"1,920","9,200","331,211",36,"120,911",13.14,"210,300","1,552,000",168.7,0,1-00451-0001,"146 2 AVENUE
New York, NY
(40.729343956685, -73.987103907608)",EAST VILLAGE,C7-WALK-UP,62,"1,900","37,353","1,529,405",40.94,"519,954",13.92,"1,009,451","7,624,000",204.11,0.05,1-00454-0004,198 2 AVENUE,EAST VILLAGE,C7-WALK-UP,35,1920,"24,747","711,930",28.77,"277,661",11.22,"434,269","3,261,000",131.77,0.1
1-00847-0050,"40 19 STREET
New York, NY
(40.539313773957, -74.169162062729)",1,,,,,,,,,,FLATIRON,D0-ELEVATOR,15,"1,905","37,857","1,218,617",32.19,"399,013",10.54,"819,604","6,103,000",161.21,1-00935-0053,"312 30 STREET
New York, NY
(40.749982399583, -73.996119030285)",KIPS BAY,D9-ELEVATOR,67,"1,986","47,820","1,656,890",34.65,"580,343",12.14,"1,076,547","7,971,000",166.69,0.7,1-00412-0008,"186 ORCHARD STREET
New York, NY
(40.722023475367, -73.988237053365)",LOWER EAST SIDE,D6-ELEVATOR,22,"1,930","12,225","432,830",35.41,"127,237",10.41,"305,593","2,259,000",184.79,1.09,, , , , , , , , , , , , , , 
1-01380-0035,"620 PARK AVENUE
New York, NY
(40.766917631069, -73.967004060253)",1,10065,40.766851,-73.966943,8,4,122,"1,041,136","1,013,800,035",Upper East Side-Carnegie Hill                                              ,UPPER EAST SIDE (59-79),D4-ELEVATOR,18,"1,924","64,234","2,511,549",39.1,"688,588",10.72,"1,822,961","13,787,000",214.64,1-01379-0030,"47 64 STREET
New York, NY
(40.641033064985, -74.024793769845)",UPPER EAST SIDE (59-79),D9-ELEVATOR,40,"1,929","41,692","1,726,049",41.4,"587,023",14.08,"1,139,026","8,600,000",206.27,0.05,1-01398-0006,"103 63 STREET
New York, NY
(40.642311269898, -74.025427870612)",UPPER EAST SIDE (59-79),D7-ELEVATOR,37,"1,923","36,274","1,173,708",32.36,"221,664",6.11,"952,044","7,087,000",195.37,0.14,1-01379-0066,4 EAST 65 STREET,UPPER EAST SIDE (59-79),D9-ELEVATOR,20,1915,"22,344","873,650",39.1,"296,952",13.29,"576,698","4,362,000",195.22,0.11
1-01453-0037,"330 79 STREET
New York, NY
(40.628354626373, -74.02826943261)",1,,,,,,,,,,UPPER EAST SIDE (59-79),D4-ELEVATOR,70,"1,941","82,608","3,396,015",41.11,"954,948",11.56,"2,441,067","18,434,000",223.15,1-01453-0021,"353 78 STREET
New York, NY
(40.628960395409, -74.027160515172)",UPPER EAST SIDE (59-79),D6-ELEVATOR,67,"1,986","53,662","1,890,012",35.22,"420,072",7.83,"1,469,940","10,871,000",202.58,0,1-01450-0037,"352 76 STREET
New York, NY
(40.630379073999, -74.026647246966)",UPPER EAST SIDE (59-79),D6-ELEVATOR,23,"1,910","10,800","504,549",46.72,"131,085",12.14,"373,464","2,807,000",259.91,0.15,, , , , , , , , , , , , , , 
1-02072-0022,"83 HAMILTON PLACE
New York, NY
(40.822855461292, -73.95095116203)",1,10031,40.822934,-73.950797,9,7,225,"1,061,763","1,020,720,022",Hamilton Heights                                                           ,HARLEM-UPPER,C6-WALK-UP,24,"1,920","19,662","241,449",12.28,"125,247",6.37,"116,202","737,000",37.48,1-02051-0033,"660 ST NICHOLAS AVENUE
New York, NY
(40.822513718921, -73.945501270532)",HARLEM-CENTRAL,C1-WALK-UP,30,"1,910","20,640","352,531",17.08,"112,075",5.43,"240,456","1,738,000",84.21,0.28,1-01987-0036,"1496 AMSTERDAM AVENUE
New York, NY
(40.818107040977, -73.952821751851)",HARLEM-WEST,C1-WALK-UP,25,"1,905","17,749","217,894",12.28,"108,725",6.13,"109,169","692,000",38.99,0.35,1-02025-0056,226 WEST 140 STREET,HARLEM-CENTRAL,C1-WALK-UP,18,1920,"15,292","174,255",11.4,"111,456",7.29,"62,799","404,000",26.42,0.46
1-01148-0056,"160 77 STREET
New York, NY
(40.630878085552, -74.032125333133)",1,,,,,,,,,,UPPER WEST SIDE (59-79),D4-ELEVATOR,45,"1,927","53,427","1,747,063",32.7,"574,875",10.76,"1,172,188","8,720,000",163.21,1-01129-0047,"22 77 STREET
New York, NY
(40.63205523324, -74.037085739379)",UPPER WEST SIDE (59-79),D1-ELEVATOR,42,"1,921","26,910","889,231",33.04,"189,083",7.03,"700,148","5,205,000",193.42,0.17,1-01210-0012,"147 79 STREET
New York, NY
(40.629612150649, -74.033321842043)",UPPER WEST SIDE (79-96),D3-ELEVATOR,61,"1,926","76,193","2,491,263",32.7,"820,130",10.76,"1,671,133","12,431,000",163.15,0.16,1-01169-0042,226 WEST 78 STREET,UPPER WEST SIDE (59-79),D1-ELEVATOR,42,1925,"27,100","780,225",28.79,"269,477",9.94,"510,748","3,835,000",141.51,0.14
